model,features,thetas,alpha,max_iter,loss,train_loss
0,w,"644795.5484318731,-392.8107536393349",0.1,100000,516262626.31791353,505819105.1571378
1,p,"644795.5484318731,-392.8107536393349",0.1,100000,4706741931.96691,4638091467.130751
2,t,"644795.5484318731,-392.8107536393349",0.1,100000,4638139951.158397,4669233747.317847
3,"w,p","643865.4553827571,260.9987968348803,-3552.361661073695",0.1,100000,520013022.93968743,490788323.89366215
4,"w,t","643865.4553827571,260.9987968348803,-3552.361661073695",0.1,100000,519589717.28211373,505256240.5561091
5,"t,p","643865.4553827571,260.9987968348803,-3552.361661073695",0.1,100000,4749893674.204953,4628093950.684935
6,"w,p,t","644202.9055743769,90943.78753317638,-5113.20960079349,-667.6420113097328",0.1,100000,509772423.4634838,493075877.1469024
7,wp,"644006.2193966911,58748.846364147896",0.1,100000,1255110564.7895856,1402252092.4308023
8,wt,"644006.2193966911,58748.846364147896",0.1,100000,2553415733.3081617,2662620729.4577584
9,pt,"644006.2193966911,58748.846364147896",0.1,100000,4498013709.591101,4700519786.641157
10,wpt,"644006.2193966911,58748.846364147896",0.1,100000,2898949247.321797,2965367807.5529037
11,"wp,t","644032.4044189935,-2463.971878711395,91302.7632819575",0.1,100000,1478404966.5584989,1346027910.487062
12,"wt,p","644032.4044189935,-2463.971878711395,91302.7632819575",0.1,100000,2609842823.2193866,2634001721.943319
13,"pt,w","644032.4044189935,-2463.971878711395,91302.7632819575",0.1,100000,489807823.7288174,508817213.9190419
14,"w,w2","643638.8820845467,1466.6924332953217,-2426.5235820995063",0.1,100000,470854922.18375665,447058326.4312784
15,"p,p2","643638.8820845467,1466.6924332953217,-2426.5235820995063",0.1,100000,4232109521.5784717,4314173227.547967
16,"t,t2","643638.8820845467,1466.6924332953217,-2426.5235820995063",0.1,100000,4619313218.137201,4673967344.963236
17,"w,w2,w3","644246.4784986951,-3044.7602881587195,2457.208441720531,-1763.1925247089325",0.1,100000,422474127.71690404,459191813.81584233
18,"p,p2,p3","644246.4784986951,-3044.7602881587195,2457.208441720531,-1763.1925247089325",0.1,100000,4311712439.394457,4214857315.4261785
19,"t,t2,t3","644246.4784986951,-3044.7602881587195,2457.208441720531,-1763.1925247089325",0.1,100000,4687916981.5110035,4658390110.134193
20,"w,w2,w3,w4","643632.7246663797,-10486.224426616047,14997.584912981498,8728.083369279331,-14671.288692577466",0.1,100000,480628615.2801769,444811472.4166412
21,"p,p2,p3,p4","643632.7246663797,-10486.224426616047,14997.584912981498,8728.083369279331,-14671.288692577466",0.1,100000,4154637141.498844,4234702889.277284
22,"t,t2,t3,t4","643632.7246663797,-10486.224426616047,14997.584912981498,8728.083369279331,-14671.288692577466",0.1,100000,4819994166.464753,4624815347.497293
