model,features,thetas,alpha,max_iter,lambda,loss,train_loss
0,"w,p,t,wp,wt,pt,wpt","643519.4243677185,90592.46078672333,-5950.673829429107,1179.3956249467824,-592.3112020366597,-1693.2665458653173,-2150.035080580329,3371.835538981459",0.1,100000,0.0,558334235.1260589,470781445.0864416
1,"w,p,t,wp,wt,pt,wpt","643518.4285948662,90058.6734021497,-6148.6184669310815,811.7287027448359,-35.83969213547602,-1092.836597003429,-1757.3765413104338,2765.3643540957246",0.1,100000,0.2,559107081.7289156,471060736.1441977
2,"w,p,t,wp,wt,pt,wpt","643517.4899360756,89557.25564868738,-6333.161582319289,471.9358189821116,485.8840105553647,-534.3314773143129,-1395.3294162925968,2202.43935039935",0.1,100000,0.4,559872429.7657032,471336717.10046947
3,"w,p,t,wp,wt,pt,wpt","643516.6027542589,89084.99669272442,-6505.644296651972,157.202729545824,976.3083023281138,-13.552765610377556,-1060.8018230598384,1678.697903698834",0.1,100000,0.6000000000000001,560631320.0035288,471609681.125179
4,"w,p,t,wp,wt,pt,wpt","643515.7621394102,88639.10001161146,-6667.23454448653,-134.92114869913968,1438.4366083351877,473.1558393151834,-751.1014204834933,1190.3407173124986",0.1,100000,0.8,561384599.803313,471879883.8570558
5,"w,p,t,wp,wt,pt,wpt","643514.9637949382,88217.11861988873,-6818.954151888495,-406.57959992528686,1874.896949864731,928.9932788586775,-463.8729364759198,734.0437460760389",0.1,100000,1.0,562132962.6120156,472147549.26796544
6,"w,w2,p,p2,t,t2,wp,wp2,wt,wt2,pt,pt2,wpt,wpt2","643912.3241674535,127207.33338566734,-41901.39363763559,-222484.38411083395,215932.10503714418,-13244.467678474186,4005.3247965141404,3401.2445789574326,793.4357185622562,12852.47796424731,-4538.7077727865835,14971.589132714693,-6438.063077187589,-12937.653102329765,5318.802091494971",0.1,100000,0.0,93007007.44215763,83219578.4276022
7,"w,w2,p,p2,t,t2,wp,wp2,wt,wt2,pt,pt2,wpt,wpt2","643910.0065020348,127460.57155628558,-41818.3971873017,-218829.34518163837,212959.64086878957,-9720.080444086203,2307.0830351744507,2641.338746034338,1078.286569231693,12099.043744886458,-4340.37005655859,10755.072534214609,-4179.350643353659,-11734.435041024846,4817.771876520916",0.1,100000,0.2,104386406.80437566,87077325.78694798
8,"w,w2,p,p2,t,t2,wp,wp2,wt,wt2,pt,pt2,wpt,wpt2","643907.4957247062,127316.25798364419,-41607.44053495889,-215534.21988405098,210196.26486021213,-6862.723108573658,897.5002838900164,2320.4430143412683,1206.932784974128,11879.184415876207,-4330.759256386485,7280.58635087918,-2266.7108763308997,-11097.643208987376,4530.974023094188",0.1,100000,0.4,115328364.52701306,90832706.21017894
9,"w,w2,p,p2,t,t2,wp,wp2,wt,wt2,pt,pt2,wpt,wpt2","643904.8572316483,126933.32457308048,-41321.374265358325,-212507.62331937204,207596.45742010415,-4487.790662492048,-296.67824500391777,2267.16651279582,1240.868568819599,11986.275506051665,-4436.398708638526,4344.768161655026,-613.5372311022477,-10811.976785296369,4377.648034557626",0.1,100000,0.6000000000000001,125879493.04657571,94496064.94732583
10,"w,w2,p,p2,t,t2,wp,wp2,wt,wt2,pt,pt2,wpt,wpt2","643902.1351990622,126408.51125712538,-40992.12181625493,-209689.5162970012,205129.6113924382,-2473.903230870452,-1324.6360467778834,2376.9721050912335,1217.3817423390908,12293.007290765641,-4612.003257467912,1813.8116726232554,838.3499350653108,-10744.571844453385,4307.897419511488",0.1,100000,0.8,136074370.20750493,98074889.41138002
11,"w,w2,p,p2,t,t2,wp,wp2,wt,wt2,pt,pt2,wpt,wpt2","643899.3602324243,125801.30135734109,-40639.120778314704,-207039.217785611,202774.41302396276,-738.8953407425431,-2220.465201600303,2585.394553842554,1159.302992685515,12719.917593233477,-4829.297592351727,-402.9415897673237,2129.3093223782043,-10812.316098550873,4290.458986582815",0.1,100000,1.0,145940745.81522125,101575085.38346994
