model,features,thetas,alpha,max_iter,lambda,f1_score
0,"w,h,d","0.28401334063419553,-0.08726092133801204,-0.1597609116557197,0.03360833557443497",0.1,500000,0.0,3.3055555555555554
1,"w,h,d","0.22324287600764003,-0.008358972370197747,-0.06886901755902096,0.14156193523924213",0.1,500000,0.0,3.3055555555555554
2,"w,h,d","0.2529119703506308,0.23690500542322732,0.10299713683811859,0.041078140163688825",0.1,500000,0.0,3.3055555555555554
3,"w,h,d","0.2398318130075344,-0.1412851117150173,0.12563279237662264,-0.21624841097736522",0.1,500000,0.0,3.3055555555555554
4,"w,h,d","0.28401570279403243,-0.08715011769584054,-0.15944360159349402,0.03368217194124061",0.1,500000,0.2,3.3055555555555554
5,"w,h,d","0.223233078123447,-0.008399839210603765,-0.06883952626355617,0.14122924575730292",0.1,500000,0.2,3.3055555555555554
6,"w,h,d","0.25291809810945876,0.2364758826422753,0.10278660254886304,0.040806904677315986",0.1,500000,0.2,3.3055555555555554
7,"w,h,d","0.23983312097306253,-0.14092592573583076,0.12549652530818772,-0.21571832237585886",0.1,500000,0.2,3.3055555555555554
8,"w,h,d","0.2840180170139688,-0.08703959153749541,-0.15912783858708401,0.03375496268870718",0.1,500000,0.4,3.3055555555555554
9,"w,h,d","0.22322333759346322,-0.008440361262043903,-0.06880959309500011,0.14089838690595805",0.1,500000,0.4,3.3055555555555554
10,"w,h,d","0.2529242478673739,0.23604840096882646,0.10257729644031123,0.040537793309728586",0.1,500000,0.4,3.3055555555555554
11,"w,h,d","0.23983439752519484,-0.14056844816928693,0.12536013524177347,-0.21519114290439312",0.1,500000,0.4,3.3055555555555554
12,"w,h,d","0.2840202839151763,-0.086929341783112,-0.15881360928162078,0.03382672096626369",0.1,500000,0.6000000000000001,3.3055555555555554
13,"w,h,d","0.22321365383151867,-0.008480541529682258,-0.0687792257818567,0.1405693418961927",0.1,500000,0.6000000000000001,3.3055555555555554
14,"w,h,d","0.25293041906553954,0.23562255051425463,0.10236920561270095,0.04027078367732195",0.1,500000,0.6000000000000001,3.3055555555555554
15,"w,h,d","0.23983564318776623,-0.14021266720146017,0.12522362945077706,-0.2146668465397777",0.1,500000,0.6000000000000001,3.3055555555555554
16,"w,h,d","0.2840225041096105,-0.08681936735963781,-0.15850090049170915,0.033897459728036275",0.1,500000,0.8,3.3055555555555554
17,"w,h,d","0.22320402625978536,-0.008520382987327189,-0.06874843192432845,0.14024209415663555",0.1,500000,0.8,3.3055555555555554
18,"w,h,d","0.25293661115522487,0.23519832147301004,0.10216231735475538,0.04000585370207237",0.1,500000,0.8,3.3055555555555554
19,"w,h,d","0.23983685847538,-0.1398585711260448,0.12508701506128272,-0.21414540758674355",0.1,500000,0.8,3.3055555555555554
20,"w,h,d","0.28402467820017374,-0.08670966720075252,-0.15818969919861214,0.03396719173632023",0.1,500000,1.0,3.3055555555555554
21,"w,h,d","0.22319445430862891,-0.008559888577827739,-0.06871721899672235,0.13991662732992857",0.1,500000,1.0,3.3055555555555554
22,"w,h,d","0.25294282359760795,0.2347757041217085,0.10195661914026294,0.0397429816063521",0.1,500000,1.0,3.3055555555555554
23,"w,h,d","0.23983804389359015,-0.13950614834312805,0.12495029905507206,-0.21362680067260026",0.1,500000,1.0,3.3055555555555554
24,"w,w2,h,h2,d,d2","0.275479999429423,0.24102156798548957,-0.3477017648373422,-1.2364911342428753,1.0799030726926453,0.7902147022233399,-0.7940513952056212",0.1,500000,0.0,2.5
25,"w,w2,h,h2,d,d2","0.23631094851126888,-0.12156281483976346,0.13452512210857057,1.512093315186881,-1.583482041507419,-0.7491955543182391,0.9327053283433322",0.1,500000,0.0,2.5
26,"w,w2,h,h2,d,d2","0.24429312075367265,-0.11569458923304832,0.3425525401893298,0.3181992701395371,-0.21807057897143806,0.5053203926064708,-0.4832342464679085",0.1,500000,0.0,2.5
27,"w,w2,h,h2,d,d2","0.24391593130563616,-0.0037641639126817414,-0.1293758974605542,-0.5938014510832956,0.7216495477859641,-0.5463395405115803,0.3445803133302068",0.1,500000,0.0,2.5
28,"w,w2,h,h2,d,d2","0.2791211978096677,0.16334132960105704,-0.26519155112604287,-0.43957633723760503,0.2819990912209878,0.5588316796349501,-0.5527724052073334",0.1,500000,0.2,2.2214285714285715
29,"w,w2,h,h2,d,d2","0.2314723580563354,-0.09130307363141982,0.09914625171754181,0.4522881609178173,-0.5226582802743573,-0.4946714164000595,0.6674045655051071",0.1,500000,0.2,2.2214285714285715
30,"w,w2,h,h2,d,d2","0.24609090674210243,-0.04633919422603607,0.2760659778011439,0.15001064090314248,-0.04981439478847767,0.38222184944303517,-0.3561493291234772",0.1,500000,0.2,2.2214285714285715
31,"w,w2,h,h2,d,d2","0.24331553739189468,-0.025699061743600187,-0.11002067839264369,-0.16272246458335696,0.29047358384184935,-0.4463821126779337,0.2415171688257115",0.1,500000,0.2,2.2214285714285715
32,"w,w2,h,h2,d,d2","0.28044873003667653,0.11897446855116976,-0.21811984127516626,-0.2884180608433797,0.13046088992439558,0.4415889601054452,-0.43062021502429504",0.1,500000,0.4,2.2214285714285715
33,"w,w2,h,h2,d,d2","0.22972353372973564,-0.07328737829256268,0.07832561371162536,0.24997082306197438,-0.3199071128114439,-0.37019540276458457,0.5377412614502027",0.1,500000,0.4,2.2214285714285715
34,"w,w2,h,h2,d,d2","0.24727266180618696,-0.008618023175069189,0.2399457215198378,0.11406432326405579,-0.013910006874462238,0.30723382856855647,-0.2787162298140373",0.1,500000,0.4,2.2214285714285715
35,"w,w2,h,h2,d,d2","0.24255507442740157,-0.03706906708354614,-0.10015149395628792,-0.07561708548262037,0.20335622976148038,-0.3786273859094477,0.17159518338816127",0.1,500000,0.4,2.2214285714285715
36,"w,w2,h,h2,d,d2","0.2812307249050631,0.09025847905603081,-0.18762429797726865,-0.22552311104160638,0.0673882587786105,0.36669201306599086,-0.35258924324329266",0.1,500000,0.6000000000000001,2.2214285714285715
37,"w,w2,h,h2,d,d2","0.22869993542423195,-0.061337871112108,0.06454992022878284,0.16535755804699423,-0.2350243339939552,-0.291382603337476,0.4555988359471327",0.1,500000,0.6000000000000001,2.2214285714285715
38,"w,w2,h,h2,d,d2","0.24805573480949328,0.015047591579252069,0.21725334512133784,0.09766766718779205,0.00241613569009671,0.25783138765020575,-0.22773878782265886",0.1,500000,0.6000000000000001,2.2214285714285715
39,"w,w2,h,h2,d,d2","0.24201360486121132,-0.04396819952317655,-0.0941789673728506,-0.03750211419319556,0.1652199395252635,-0.33314079737870744,0.12472919511880494",0.1,500000,0.6000000000000001,2.2214285714285715
40,"w,w2,h,h2,d,d2","0.2817591166987297,0.07015278994041267,-0.16624814821513223,-0.19132110936183908,0.03311253425809483,0.3143342856032489,-0.2980328322062159",0.1,500000,0.8,2.2214285714285715
41,"w,w2,h,h2,d,d2","0.2280107402206964,-0.05283647079218586,0.05475703054437445,0.11917368319405292,-0.1886521112693892,-0.23652760701512987,0.3983760040211161",0.1,500000,0.8,2.2214285714285715
42,"w,w2,h,h2,d,d2","0.24860975182574088,0.031256697503774966,0.2016666252595537,0.08810567495909698,0.011895491856936611,0.22289676449679569,-0.19172685382676452",0.1,500000,0.8,2.2214285714285715
43,"w,w2,h,h2,d,d2","0.2416203912548338,-0.048573016652002525,-0.09017550758879446,-0.01595824879128308,0.14364408515432986,-0.30070344308494773,0.09138368201189856",0.1,500000,0.8,2.2214285714285715
44,"w,w2,h,h2,d,d2","0.282143184156625,0.0552910343004105,-0.15042767343656843,-0.16990526357539895,0.011684592034630091,0.2755944497729572,-0.2576569269212711",0.1,500000,1.0,2.5
45,"w,w2,h,h2,d,d2","0.22751057896281923,-0.04648124269835205,0.047436622354770655,0.09018254146024546,-0.15952008572645943,-0.19605293743868563,0.3561077785619862",0.1,500000,1.0,2.5
46,"w,w2,h,h2,d,d2","0.24902206338430508,0.043039127482149074,0.190291041334025,0.08178363873314598,0.018128780349808207,0.19689457167309515,-0.16495620021495902",0.1,500000,1.0,2.5
47,"w,w2,h,h2,d,d2","0.24132417349625143,-0.05184891908420743,-0.08729999025222668,-0.002060916617973197,0.1297067133420017,-0.276436084007395,0.06650534857427319",0.1,500000,1.0,2.5
48,"w,w2,w3,h,h2,h3,d,d2,d3","0.26659413326267967,6.330371061846362,-12.757566730043875,6.371005683806753,-1.2005088792989898,0.862571837994149,0.1905005903529832,-1.8667812663635903,5.036816995917325,-3.292512866971278",0.1,500000,0.0,1.9761904761904763
49,"w,w2,w3,h,h2,h3,d,d2,d3","0.23422702726272762,0.19000392364000232,-0.49831209957358785,0.3249256119596768,3.0978763222625045,-4.876832858799586,1.7112092201588,-1.1960279481784237,1.9152778462223468,-0.5539403828518736",0.1,500000,0.0,1.9761904761904763
50,"w,w2,w3,h,h2,h3,d,d2,d3","0.2527711143774916,-5.850337751944906,12.028836325802928,-5.999580011119573,-0.522471642558628,1.6491815642171204,-1.0367185661155303,3.0137185915647353,-5.987403881392896,3.107497340867516",0.1,500000,0.0,1.9761904761904763
51,"w,w2,w3,h,h2,h3,d,d2,d3","0.24647144965390985,-0.626243561164715,1.138214529211631,-0.650970771671748,-1.3447106467243777,2.3047643362089567,-0.8347572649410632,0.05607777225929401,-0.9803942747597646,0.7478910454137196",0.1,500000,0.0,1.9761904761904763
52,"w,w2,w3,h,h2,h3,d,d2,d3","0.2748652341499569,0.1433265462719918,-0.21943756387053634,-0.029080044534828608,-0.46478816375109605,-0.03785156796168553,0.3465179935087249,0.36301010171425907,0.06502945527145874,-0.4431118281651648",0.1,500000,0.2,2.2214285714285715
53,"w,w2,w3,h,h2,h3,d,d2,d3","0.2354250701926493,-0.052864236001484995,-0.00047466970906185013,0.06432748062801805,0.4761733471697406,-0.07347162312061137,-0.47495124213859524,-0.330720373631434,0.138470832884138,0.3835079877121015",0.1,500000,0.2,2.2214285714285715
54,"w,w2,w3,h,h2,h3,d,d2,d3","0.24498665307173256,-0.03765663607649878,0.24728265358902674,0.01909645601562176,0.14371061324949702,0.04502172156410752,-0.08874870877586646,0.307344656001987,-0.13407853155131122,-0.15428343873646388",0.1,500000,0.2,2.2214285714285715
55,"w,w2,w3,h,h2,h3,d,d2,d3","0.24472304258566077,-0.05280567419402713,-0.027370420009392684,-0.05434389210882815,-0.15509579666829543,0.06630146951848767,0.2171819574055916,-0.33963438408482377,-0.06942175660425831,0.21388727918951084",0.1,500000,0.2,2.2214285714285715
56,"w,w2,w3,h,h2,h3,d,d2,d3","0.27624720981242984,0.09245320046818865,-0.12795833848989707,-0.0686830891786277,-0.35293968836727485,-0.04483431529080889,0.24131177853097116,0.346209424739947,0.019161964641004538,-0.3755901631831701",0.1,500000,0.4,2.2214285714285715
57,"w,w2,w3,h,h2,h3,d,d2,d3","0.23410569404499978,-0.0504004780873291,0.0015889939312601841,0.058540370781484864,0.3386409129850683,-0.04902856693198057,-0.36154472875651095,-0.2833252904685549,0.11261488385266893,0.35856861975043114",0.1,500000,0.4,2.2214285714285715
58,"w,w2,w3,h,h2,h3,d,d2,d3","0.24532898922261198,0.007656808481812606,0.16259577571535613,0.05954592834705676,0.11938047632981333,0.03884605479931024,-0.05838762513614525,0.25952551474773006,-0.07076209598182454,-0.16945473721227877",0.1,500000,0.4,2.2214285714285715
59,"w,w2,w3,h,h2,h3,d,d2,d3","0.2443181069199583,-0.04970953086264889,-0.03622643115676598,-0.04940320994989007,-0.1050817009475999,0.05501682742349536,0.1786205753616618,-0.32240964901916525,-0.06101475251176821,0.18647628064497887",0.1,500000,0.4,2.2214285714285715
60,"w,w2,w3,h,h2,h3,d,d2,d3","0.27721449585036306,0.07216081641057862,-0.09700961176731254,-0.0783128267501886,-0.2882682086199611,-0.04731033280822741,0.17888933264672713,0.32224148814669207,0.006016693453849411,-0.3351382066166053",0.1,500000,0.6000000000000001,2.2214285714285715
61,"w,w2,w3,h,h2,h3,d,d2,d3","0.23315572937620216,-0.04752403245942265,0.0020342582481059648,0.05418501038678259,0.2606961531508989,-0.04069022911371067,-0.2916687351996747,-0.25047656081111075,0.10159417944765634,0.33395040580492785",0.1,500000,0.6000000000000001,2.2214285714285715
62,"w,w2,w3,h,h2,h3,d,d2,d3","0.24569959901405858,0.024489696143321117,0.13432032441099534,0.07168720197797265,0.10398527445810099,0.03679737319842619,-0.04111615125379757,0.23314908376772894,-0.04853366522588829,-0.16439509556874873",0.1,500000,0.6000000000000001,2.2214285714285715
63,"w,w2,w3,h,h2,h3,d,d2,d3","0.24393017575937678,-0.04912648009449085,-0.03934497089175954,-0.04755938561458229,-0.07641321898901361,0.0512031887234775,0.15389555380675485,-0.3049140111032652,-0.059077207675711195,0.1655828963804773",0.1,500000,0.6000000000000001,2.2214285714285715
64,"w,w2,w3,h,h2,h3,d,d2,d3","0.27795831236175833,0.06001912287322351,-0.08133368003962733,-0.08092791707045291,-0.24607511694119458,-0.048600167180793026,0.1378201249178696,0.29997292707451567,0.00062149718897841,-0.30484936717791067",0.1,500000,0.8,2.2214285714285715
65,"w,w2,w3,h,h2,h3,d,d2,d3","0.23242323778976245,-0.04481217192227695,0.0021136098280722525,0.05051981813432268,0.2101080362603519,-0.036445484167866665,-0.24509675041054996,-0.22467260544220458,0.09489390781308762,0.31252847686561325",0.1,500000,0.8,2.2214285714285715
